Point	Row	Column	Ratio_200_110
1	1	1	0.067617051
2	1	2	0.050601196
3	1	3	0.046687417
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	0.033782057
15	2	4	0.036057569
16	2	5	0.033977192
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	0.038420685
27	3	5	0.053886589
28	3	6	0.05525849
29	3	7	0.058428127
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	0.18722348
35	4	2	0.17851107
36	4	3	0.15073583
37	4	4	0.079674825
38	4	5	0.048836015
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
